Variable,Valor,Iteracion,time_connect,time_appconnect,handshake_ms,time_total,http_code,status
Latencia,0,1,0.02465,0.075279,50.629,0.236658,200,OK
Latencia,0,2,0.016711,0.061134,44.423,0.154076,200,OK
Latencia,0,3,0.023421,0.06735,43.929,0.210646,200,OK
Latencia,0,4,0.020422,0.067605,47.183,0.191924,200,OK
Latencia,0,5,0.019995,0.065282,45.287,0.165534,200,OK
Latencia,0,6,0.025693,0.074145,48.452,0.192278,200,OK
Latencia,0,7,0.018577,0.063176,44.599,0.203673,200,OK
Latencia,0,8,0.01685,0.057845,40.995,0.199312,200,OK
Latencia,0,9,0.025611,0.074088,48.477,0.230015,200,OK
Latencia,0,10,0.024563,0.069754,45.191,0.172003,200,OK
Latencia,0,11,0.021192,0.070037,48.845,0.171895,200,OK
Latencia,0,12,0.018364,0.065401,47.037,0.190325,200,OK
Latencia,0,13,0.023625,0.073142,49.517,0.204697,200,OK
Latencia,0,14,0.024238,0.074154,49.916,0.19377,200,OK
Latencia,0,15,0.024513,0.068192,43.679,0.183462,200,OK
Latencia,0,16,0.014504,0.056357,41.853,0.152805,200,OK
Latencia,0,17,0.021544,0.070898,49.354,0.219754,200,OK
Latencia,0,18,0.02465,0.072205,47.555,0.162838,200,OK
Latencia,0,19,0.023317,0.071424,48.107,0.210298,200,OK
Latencia,0,20,0.018207,0.064135,45.928,0.163085,200,OK
Latencia,0,21,0.022402,0.067735,45.333,0.205494,200,OK
Latencia,0,22,0.015505,0.06049,44.985,0.161519,200,OK
Latencia,0,23,0.020615,0.083673,63.058,0.206672,200,OK
Latencia,0,24,0.015198,0.05781,42.612,0.153211,200,OK
Latencia,0,25,0.021146,0.070355,49.209,0.163621,200,OK
Latencia,0,26,0.017578,0.064325,46.747,0.160042,200,OK
Latencia,0,27,0.023888,0.073346,49.458,0.178598,200,OK
Latencia,0,28,0.023808,0.074223,50.415,0.202505,200,OK
Latencia,0,29,0.018106,0.059897,41.791,0.175296,200,OK
Latencia,0,30,0.021355,0.066684,45.329,0.183763,200,OK
Latencia,0,31,0.021971,0.071657,49.686,0.162248,200,OK
Latencia,0,32,0.019273,0.065407,46.134,0.153476,200,OK
Latencia,0,33,0.022265,0.070088,47.823,0.160556,200,OK
Latencia,0,34,0.026392,0.076261,49.869,0.202134,200,OK
Latencia,0,35,0.025253,0.07202,46.767,0.194268,200,OK
Latencia,0,36,0.019711,0.065346,45.635,0.177367,200,OK
Latencia,0,37,0.021018,0.066685,45.667,0.170644,200,OK
Latencia,0,38,0.016228,0.060359,44.131,0.160423,200,OK
Latencia,0,39,0.024871,0.072777,47.906,0.16525,200,OK
Latencia,0,40,0.023837,0.063552,39.715,0.153681,200,OK
Latencia,0,41,0.012648,0.051037,38.389,0.16715,200,OK
Latencia,0,42,0.012963,0.052102,39.139,0.141774,200,OK
Latencia,0,43,0.018154,0.058971,40.817,0.146522,200,OK
Latencia,0,44,0.012744,0.051829,39.085,0.145177,200,OK
Latencia,0,45,0.01929,0.064877,45.587,0.187278,200,OK
Latencia,0,46,0.023203,0.074564,51.361,0.172617,200,OK
Latencia,0,47,0.024318,0.077329,53.011,0.176573,200,OK
Latencia,0,48,0.022662,0.07078,48.118,0.162036,200,OK
Latencia,0,49,0.019264,0.066363,47.099,0.163743,200,OK
Latencia,0,50,0.017416,0.060751,43.335,0.152375,200,OK
Latencia,50,1,0.074421,0.176213,101.792,0.456933,200,OK
Latencia,50,2,0.06977,0.175239,105.469,0.418536,200,OK
