Variable,Valor,Iteracion,time_connect,time_appconnect,handshake_ms,time_total,http_code,status
Latencia,0,1,0.012878,0.053453,40.575,0.285217,200,OK
Latencia,0,2,0.013359,0.05438,41.021,0.29951,200,OK
Latencia,0,3,0.021807,0.069025,47.218,0.295163,200,OK
Latencia,0,4,0.0122,0.054859,42.659,0.271026,200,OK
Latencia,0,5,0.012803,0.053248,40.445,0.301819,200,OK
Latencia,0,6,0.011647,0.052952,41.305,0.274746,200,OK
Latencia,0,7,0.011601,0.052578,40.977,0.298757,200,OK
Latencia,0,8,0.012329,0.057255,44.926,0.195148,200,OK
Latencia,0,9,0.011918,0.0554,43.482,0.274968,200,OK
Latencia,0,10,0.011988,0.053344,41.356,0.26629,200,OK
Latencia,0,11,0.011689,0.052085,40.396,0.272983,200,OK
Latencia,0,12,0.011782,0.052539,40.757,0.272852,200,OK
Latencia,0,13,0.020859,0.061711,40.852,0.193514,200,OK
Latencia,0,14,0.012128,0.053648,41.52,0.298277,200,OK
Latencia,0,15,0.011882,0.05424,42.358,0.290344,200,OK
Latencia,0,16,0.01874,0.059755,41.015,0.284142,200,OK
Latencia,0,17,0.013883,0.057697,43.814,0.271105,200,OK
Latencia,0,18,0.011813,0.05472,42.907,0.275819,200,OK
Latencia,0,19,0.013943,0.055696,41.753,0.271668,200,OK
Latencia,0,20,0.011599,0.053138,41.539,0.274106,200,OK
Latencia,0,21,0.012305,0.055248,42.943,0.304232,200,OK
Latencia,0,22,0.012237,0.057295,45.058,0.299354,200,OK
Latencia,0,23,0.011818,0.055665,43.847,0.319776,200,OK
Latencia,0,24,0.01168,0.053079,41.399,0.291502,200,OK
Latencia,0,25,0.011463,0.051429,39.966,0.263226,200,OK
Latencia,0,26,0.022399,0.078105,55.706,0.303667,200,OK
Latencia,0,27,0.012175,0.05431,42.135,0.178285,200,OK
Latencia,0,28,0.012294,0.055177,42.883,0.190423,200,OK
Latencia,0,29,0.011986,0.060464,48.478,0.28466,200,OK
Latencia,0,30,0.012262,0.053533,41.271,0.18338,200,OK
Latencia,0,31,0.011909,0.057998,46.089,0.302621,200,OK
Latencia,0,32,0.012211,0.05257,40.359,0.190933,200,OK
Latencia,0,33,0.014378,0.059339,44.961,0.275285,200,OK
Latencia,0,34,0.014807,0.063797,48.99,0.311878,200,OK
Latencia,0,35,0.013068,0.061165,48.097,0.319149,200,OK
Latencia,0,36,0.014259,0.072654,58.395,0.290085,200,OK
Latencia,0,37,0.020729,0.067846,47.117,0.926586,200,OK
Latencia,0,38,0.013168,0.05951,46.342,0.277302,200,OK
Latencia,0,39,0.014278,0.058583,44.305,0.347234,200,OK
Latencia,0,40,0.014012,0.057402,43.39,0.277262,200,OK
Latencia,0,41,0.01413,0.064156,50.026,0.310696,200,OK
Latencia,0,42,0.013548,0.05994,46.392,0.19422,200,OK
Latencia,0,43,0.01354,0.059671,46.131,0.271259,200,OK
Latencia,0,44,0.012919,0.05498,42.061,0.266932,200,OK
Latencia,0,45,0.015858,0.060042,44.184,0.286332,200,OK
Latencia,0,46,0.029296,0.072598,43.302,0.206187,200,OK
Latencia,0,47,0.027296,0.068705,41.409,0.290987,200,OK
Latencia,0,48,0.013068,0.056392,43.324,0.30517,200,OK
Latencia,0,49,0.012153,0.055275,43.122,0.271819,200,OK
Latencia,0,50,0.014233,0.057638,43.405,0.284837,200,OK
Latencia,50,1,0.115335,0.209184,93.849,0.640411,200,OK
Latencia,50,2,0.114872,0.207923,93.051,0.558085,200,OK
Latencia,50,3,0.115292,0.228329,113.037,0.48775,200,OK
Latencia,50,4,0.113661,0.207251,93.59,0.475238,200,OK
Latencia,50,5,0.115422,0.212698,97.276,0.606037,200,OK
Latencia,50,6,0.114784,0.210953,96.169,0.606429,200,OK
Latencia,50,7,0.132936,0.229549,96.613,0.598419,200,OK
Latencia,50,8,0.113015,0.206758,93.743,0.621513,200,OK
Latencia,50,9,0.118703,0.219691,100.988,0.487925,200,OK
Latencia,50,10,0.11504,0.212894,97.854,0.605139,200,OK
Latencia,50,11,0.121135,0.220088,98.953,0.578811,200,OK
Latencia,50,12,0.113845,0.208152,94.307,0.641889,200,OK
Latencia,50,13,0.115499,0.216919,101.42,0.564723,200,OK
Latencia,50,14,0.116812,0.214421,97.609,0.496231,200,OK
Latencia,50,15,0.115916,0.232106,116.19,0.622018,200,OK
Latencia,50,16,0.11454,0.208786,94.246,0.599978,200,OK
Latencia,50,17,0.114766,0.210011,95.245,0.604297,200,OK
Latencia,50,18,0.116392,0.208724,92.332,0.6091,200,OK
Latencia,50,19,0.116974,0.212248,95.274,0.672736,200,OK
Latencia,50,20,0.115751,0.217308,101.557,0.643256,200,OK
Latencia,50,21,0.115121,0.210524,95.403,0.573969,200,OK
Latencia,50,22,0.119362,0.216274,96.912,0.56561,200,OK
Latencia,50,23,0.11602,0.217822,101.802,0.580445,200,OK
Latencia,50,24,0.119493,0.220043,100.55,0.569401,200,OK
Latencia,50,25,0.118118,0.209786,91.668,0.474856,200,OK
Latencia,50,26,0.123662,0.224957,101.295,0.623661,200,OK
Latencia,50,27,0.116761,0.211322,94.561,0.598032,200,OK
Latencia,50,28,0.118085,0.213321,95.236,0.581984,200,OK
Latencia,50,29,0.116671,0.210381,93.71,0.616136,200,OK
Latencia,50,30,0.114846,0.211089,96.243,0.601958,200,OK
Latencia,50,31,0.115164,0.213957,98.793,0.613092,200,OK
Latencia,50,32,0.123584,0.217692,94.108,0.613447,200,OK
Latencia,50,33,0.120692,0.217821,97.129,0.587371,200,OK
Latencia,50,34,0.114752,0.214239,99.487,0.474108,200,OK
Latencia,50,35,0.115589,0.211493,95.904,0.571168,200,OK
Latencia,50,36,0.115589,0.21143,95.841,0.608337,200,OK
Latencia,50,37,0.121124,0.215439,94.315,0.591699,200,OK
Latencia,50,38,0.120073,0.219394,99.321,0.578547,200,OK
Latencia,50,39,0.116209,0.21324,97.031,0.567174,200,OK
Latencia,50,40,0.121538,0.236123,114.585,0.585941,200,OK
Latencia,50,41,0.116114,0.216022,99.908,0.727198,200,OK
Latencia,50,42,0.114924,0.209847,94.923,0.478178,200,OK
Latencia,50,43,0.11773,0.222962,105.232,0.588475,200,OK
Latencia,50,44,0.116539,0.214788,98.249,0.60829,200,OK
Latencia,50,45,0.115615,0.212012,96.397,0.611297,200,OK
Latencia,50,46,0.115236,0.210423,95.187,0.565546,200,OK
Latencia,50,47,0.118128,0.211249,93.121,0.610542,200,OK
Latencia,50,48,0.117165,0.210975,93.81,0.575208,200,OK
Latencia,50,49,0.115207,0.209152,93.945,0.609552,200,OK
Latencia,50,50,0.116253,0.212655,96.402,0.573615,200,OK
Latencia,100,1,0.224325,0.38659,162.265,0.89913,200,OK
Latencia,100,2,0.216702,0.362512,145.81,0.778138,200,OK
Latencia,100,3,0.229037,0.379719,150.682,0.917956,200,OK
Latencia,100,4,0.217814,0.36414,146.326,0.873768,200,OK
Latencia,100,5,0.23383,0.390676,156.846,0.912721,200,OK
Latencia,100,6,0.217143,0.366615,149.472,0.976643,200,OK
Latencia,100,7,0.240376,0.385444,145.068,0.90941,200,OK
Latencia,100,8,0.21575,0.361331,145.581,0.863672,200,OK
Latencia,100,9,0.216465,0.363124,146.659,0.866079,200,OK
Latencia,100,10,0.217454,0.371337,153.883,0.914068,200,OK
Latencia,100,11,0.215962,0.360945,144.983,0.781206,200,OK
Latencia,100,12,0.218153,0.370311,152.158,0.87199,200,OK
Latencia,100,13,0.216106,0.362995,146.889,0.87459,200,OK
Latencia,100,14,0.215846,0.361959,146.113,0.871396,200,OK
Latencia,100,15,0.218194,0.364158,145.964,0.889848,200,OK
Latencia,100,16,0.229958,0.382062,152.104,0.901879,200,OK
Latencia,100,17,0.222531,0.369587,147.056,0.888049,200,OK
Latencia,100,18,0.236635,0.398814,162.179,1.05678,200,OK
Latencia,100,19,0.227304,0.376906,149.602,0.902324,200,OK
Latencia,100,20,0.223512,0.367098,143.586,0.865057,200,OK
Latencia,100,21,0.225312,0.380944,155.632,1.000624,200,OK
Latencia,100,22,0.335267,0.488664,153.397,0.985279,200,OK
Latencia,100,23,0.215964,0.37311,157.146,0.989245,200,OK
Latencia,100,24,0.214385,0.359659,145.274,0.867224,200,OK
Latencia,100,25,0.220381,0.375771,155.39,0.797704,200,OK
Latencia,100,26,0.215829,0.361384,145.555,0.884102,200,OK
