Variable,Valor,Iteracion,time_connect,time_appconnect,handshake_ms,time_total,http_code,status
Latencia,0,1,0.024502,0.079975,55.473,0.32922,200,OK
Latencia,0,2,0.014791,0.06872,53.929,0.306197,200,OK
Latencia,0,3,0.01276,0.063798,51.038,0.202004,200,OK
Latencia,0,4,0.011567,0.064737,53.17,0.226971,200,OK
Latencia,0,5,0.020378,0.074307,53.929,0.3139,200,OK
Latencia,0,6,0.014964,0.082752,67.788,0.221152,200,OK
Latencia,0,7,0.011785,0.066034,54.249,0.40771,200,OK
Latencia,0,8,0.0123,0.064759,52.459,0.307714,200,OK
Latencia,0,9,0.014872,0.103571,88.699,0.249971,200,OK
Latencia,0,10,0.011374,0.064422,53.048,0.283178,200,OK
Latencia,0,11,0.012581,0.066666,54.085,0.325833,200,OK
Latencia,0,12,0.012107,0.064819,52.712,0.294354,200,OK
Latencia,0,13,0.013004,0.062778,49.774,0.279051,200,OK
Latencia,0,14,0.012052,0.063468,51.416,0.326641,200,OK
Latencia,0,15,0.01454,0.070599,56.059,0.283147,200,OK
Latencia,0,16,0.012292,0.066941,54.649,0.280378,200,OK
Latencia,0,17,0.011635,0.066158,54.523,0.201629,200,OK
Latencia,0,18,0.013088,0.068281,55.193,0.347921,200,OK
Latencia,0,19,0.023709,0.076056,52.347,0.346473,200,OK
Latencia,0,20,0.011531,0.062354,50.823,0.29569,200,OK
Latencia,0,21,0.013739,0.074148,60.409,0.31943,200,OK
Latencia,0,22,0.020559,0.077027,56.468,0.315569,200,OK
Latencia,0,23,0.011702,0.062829,51.127,0.315646,200,OK
Latencia,0,24,0.011556,0.064255,52.699,0.308789,200,OK
Latencia,0,25,0.011565,0.062008,50.443,0.31301,200,OK
Latencia,0,26,0.011485,0.060529,49.044,0.187114,200,OK
Latencia,0,27,0.01215,0.069939,57.789,0.380954,200,OK
Latencia,0,28,0.011995,0.068256,56.261,0.299627,200,OK
Latencia,0,29,0.017237,0.070596,53.359,0.204947,200,OK
Latencia,0,30,0.012943,0.064797,51.854,0.321836,200,OK
Latencia,0,31,0.01282,0.065833,53.013,0.19185,200,OK
Latencia,0,32,0.011506,0.065207,53.701,0.332915,200,OK
Latencia,0,33,0.012854,0.067113,54.259,0.322488,200,OK
Latencia,0,34,0.013025,0.065494,52.469,0.338826,200,OK
Latencia,0,35,0.021443,0.088608,67.165,0.330839,200,OK
Latencia,0,36,0.012799,0.08454,71.741,0.328406,200,OK
Latencia,0,37,0.011875,0.067727,55.852,0.201777,200,OK
Latencia,0,38,0.012669,0.066834,54.165,0.413598,200,OK
Latencia,0,39,0.011842,0.06527,53.428,0.3294,200,OK
Latencia,0,40,0.012067,0.064518,52.451,0.193388,200,OK
Latencia,0,41,0.011693,0.074352,62.659,0.309556,200,OK
Latencia,0,42,0.013086,0.065959,52.873,0.295688,200,OK
Latencia,0,43,0.012842,0.064574,51.732,0.302129,200,OK
Latencia,0,44,0.012336,0.065547,53.211,0.347149,200,OK
Latencia,0,45,0.013043,0.070822,57.779,0.321176,200,OK
Latencia,0,46,0.012122,0.06835,56.228,0.300771,200,OK
Latencia,0,47,0.011659,0.063766,52.107,0.1938,200,OK
Latencia,0,48,0.014614,0.075648,61.034,0.28969,200,OK
Latencia,0,49,0.011314,0.069249,57.935,0.204438,200,OK
Latencia,0,50,0.012414,0.066674,54.26,0.187976,200,OK
Latencia,50,1,0.113801,0.271488,157.687,0.560227,200,OK
Latencia,50,2,0.114014,0.271379,157.365,0.644697,200,OK
Latencia,50,3,0.114089,0.266113,152.024,0.632642,200,OK
Latencia,50,4,0.112774,0.264634,151.86,0.55117,200,OK
Latencia,50,5,0.114384,0.268698,154.314,0.663179,200,OK
Latencia,50,6,0.112116,0.267193,155.077,0.665831,200,OK
Latencia,50,7,0.113821,0.269262,155.441,0.634595,200,OK
Latencia,50,8,0.114484,0.274884,160.4,0.757503,200,OK
Latencia,50,9,0.113595,0.270991,157.396,0.639012,200,OK
Latencia,50,10,0.115549,0.265626,150.077,0.658164,200,OK
Latencia,50,11,0.113431,0.280018,166.587,0.548286,200,OK
Latencia,50,12,0.112836,0.266989,154.153,0.643219,200,OK
Latencia,50,13,0.120614,0.286537,165.923,0.549692,200,OK
Latencia,50,14,0.113546,0.284591,171.045,0.643102,200,OK
Latencia,50,15,0.125108,0.289747,164.639,0.63555,200,OK
Latencia,50,16,0.111992,0.26483,152.838,0.52672,200,OK
Latencia,50,17,0.123922,0.286501,162.579,0.664556,200,OK
Latencia,50,18,0.126243,0.297409,171.166,0.688178,200,OK
Latencia,50,19,0.114035,0.269723,155.688,0.614694,200,OK
Latencia,50,20,0.113687,0.267307,153.62,0.621182,200,OK
Latencia,50,21,0.114873,0.272695,157.822,0.648682,200,OK
Latencia,50,22,0.115047,0.277856,162.809,0.697474,200,OK
Latencia,50,23,0.114191,0.272945,158.754,0.66109,200,OK
Latencia,50,24,0.113241,0.267989,154.748,0.526725,200,OK
Latencia,50,25,0.114136,0.2673,153.164,0.620912,200,OK
Latencia,50,26,0.11346,0.267405,153.945,0.673602,200,OK
Latencia,50,27,0.114877,0.27453,159.653,0.531911,200,OK
Latencia,50,28,0.116357,0.268891,152.534,0.532666,200,OK
Latencia,50,29,0.113208,0.265127,151.919,0.612689,200,OK
Latencia,50,30,0.120609,0.273082,152.473,0.625388,200,OK
Latencia,50,31,0.115493,0.270378,154.885,0.615955,200,OK
Latencia,50,32,0.1125,0.269322,156.822,0.671248,200,OK
Latencia,50,33,0.123728,0.289164,165.436,0.667219,200,OK
Latencia,50,34,0.129824,0.296792,166.968,0.736192,200,OK
Latencia,50,35,0.125251,0.298986,173.735,0.689475,200,OK
Latencia,50,36,0.11286,0.271007,158.147,0.636342,200,OK
Latencia,50,37,0.130219,0.288412,158.193,0.691098,200,OK
Latencia,50,38,0.11334,0.264827,151.487,0.675644,200,OK
Latencia,50,39,0.11216,0.277086,164.926,0.647735,200,OK
Latencia,50,40,0.12579,0.280564,154.774,0.659361,200,OK
Latencia,50,41,0.128481,0.283477,154.996,0.546517,200,OK
Latencia,50,42,0.112706,0.266146,153.44,0.523703,200,OK
Latencia,50,43,0.112572,0.264839,152.267,0.618034,200,OK
Latencia,50,44,0.113569,0.266034,152.465,0.674538,200,OK
Latencia,50,45,0.113895,0.266451,152.556,0.665738,200,OK
Latencia,50,46,0.114648,0.270224,155.576,0.649139,200,OK
Latencia,50,47,0.113351,0.266451,153.1,0.536125,200,OK
Latencia,50,48,0.118204,0.276544,158.34,0.648177,200,OK
Latencia,50,49,0.113308,0.269403,156.095,0.619056,200,OK
Latencia,50,50,0.113709,0.267671,153.962,0.649054,200,OK
Latencia,100,1,0.213302,0.467739,254.437,0.994162,200,OK
Latencia,100,2,0.2129,0.464685,251.785,0.984018,200,OK
Latencia,100,3,0.213476,0.470456,256.98,0.994249,200,OK
Latencia,100,4,0.212636,0.472157,259.521,1.026183,200,OK
Latencia,100,5,0.212723,0.464685,251.962,0.885925,200,OK
Latencia,100,6,0.218543,0.474884,256.341,0.983779,200,OK
Latencia,100,7,0.214001,0.468367,254.366,0.977642,200,OK
Latencia,100,8,0.212569,0.463965,251.396,0.979067,200,OK
Latencia,100,9,0.213176,0.473826,260.65,1.012606,200,OK
Latencia,100,10,0.22338,0.477925,254.545,0.992649,200,OK
Latencia,100,11,0.213245,0.474007,260.762,0.987046,200,OK
Latencia,100,12,0.215195,0.466058,250.863,0.887323,200,OK
Latencia,100,13,0.214365,0.46778,253.415,0.977401,200,OK
Latencia,100,14,0.212813,0.465502,252.689,0.996643,200,OK
Latencia,100,15,0.213565,0.465377,251.812,0.989378,200,OK
Latencia,100,16,0.212834,0.465041,252.207,0.984717,200,OK
Latencia,100,17,0.218188,0.468694,250.506,0.88072,200,OK
Latencia,100,18,0.213838,0.466289,252.451,1.013798,200,OK
Latencia,100,19,0.220485,0.494471,273.986,1.026406,200,OK
Latencia,100,20,0.213015,0.464733,251.718,0.882442,200,OK
Latencia,100,21,0.214512,0.469071,254.559,0.991292,200,OK
Latencia,100,22,0.21622,0.475834,259.614,0.999716,200,OK
Latencia,100,23,0.213885,0.467367,253.482,0.981001,200,OK
Latencia,100,24,0.224176,0.485576,261.4,0.975115,200,OK
Latencia,100,25,0.213053,0.464973,251.92,1.010632,200,OK
Latencia,100,26,0.211882,0.464268,252.386,0.881822,200,OK
Latencia,100,27,0.214596,0.466614,252.018,0.974636,200,OK
Latencia,100,28,0.225912,0.490744,264.832,1.224555,200,OK
Latencia,100,29,0.214055,0.466729,252.674,0.964903,200,OK
Latencia,100,30,0.214684,0.467658,252.974,0.97813,200,OK
Latencia,100,31,0.213002,0.471411,258.409,0.963408,200,OK
Latencia,100,32,0.214197,0.468035,253.838,0.992096,200,OK
Latencia,100,33,0.212682,0.466571,253.889,0.958342,200,OK
Latencia,100,34,0.21402,0.485401,271.381,0.983585,200,OK
Latencia,100,35,0.214155,0.467901,253.746,0.979882,200,OK
